Student_ID,Sessions_Attended,Attendance_Percentage,Certified
1,38,95.0,1
2,28,70.0,0
3,14,35.0,0
4,7,17.5,0
5,20,50.0,0
6,38,95.0,1
7,18,45.0,0
8,22,55.00000000000001,0
9,10,25.0,0
10,10,25.0,0
11,23,57.49999999999999,0
12,35,87.5,1
13,39,97.5,1
14,23,57.49999999999999,0
15,2,5.0,0
16,21,52.5,0
17,1,2.5,0
18,23,57.49999999999999,0
19,29,72.5,0
20,37,92.5,1
21,1,2.5,0
22,20,50.0,0
23,32,80.0,1
24,11,27.500000000000004,0
25,21,52.5,0
26,24,60.0,0
27,26,65.0,0
28,27,67.5,0
29,15,37.5,0
30,14,35.0,0
31,2,5.0,0
32,36,90.0,1
33,6,15.0,0
34,20,50.0,0
35,8,20.0,0
36,38,95.0,1
37,17,42.5,0
38,3,7.5,0
39,24,60.0,0
40,13,32.5,0
41,8,20.0,0
42,25,62.5,0
43,1,2.5,0
44,19,47.5,0
45,27,67.5,0
46,6,15.0,0
47,7,17.5,0
48,34,85.0,1
49,13,32.5,0
50,16,40.0,0
51,35,87.5,1
52,39,97.5,1
53,3,7.5,0
54,1,2.5,0
55,5,12.5,0
56,3,7.5,0
57,28,70.0,0
58,17,42.5,0
59,25,62.5,0
60,33,82.5,1
61,9,22.5,0
62,35,87.5,1
63,13,32.5,0
64,30,75.0,0
65,14,35.0,0
66,7,17.5,0
67,13,32.5,0
68,22,55.00000000000001,0
69,39,97.5,1
70,20,50.0,0
71,15,37.5,0
72,17,42.5,0
73,23,57.49999999999999,0
74,25,62.5,0
75,24,60.0,0
76,40,100.0,1
77,28,70.0,0
78,14,35.0,0
79,0,0.0,0
80,24,60.0,0
81,6,15.0,0
82,8,20.0,0
83,23,57.49999999999999,0
84,0,0.0,0
85,7,17.5,0
86,23,57.49999999999999,0
87,10,25.0,0
88,16,40.0,0
89,7,17.5,0
90,34,85.0,1
91,34,85.0,1
92,32,80.0,1
93,4,10.0,0
94,38,95.0,1
95,40,100.0,1
96,27,67.5,0
97,6,15.0,0
98,8,20.0,0
99,7,17.5,0
100,11,27.500000000000004,0
101,33,82.5,1
102,32,80.0,1
103,22,55.00000000000001,0
104,23,57.49999999999999,0
105,36,90.0,1
106,34,85.0,1
107,39,97.5,1
108,21,52.5,0
109,26,65.0,0
110,34,85.0,1
111,0,0.0,0
112,34,85.0,1
113,36,90.0,1
114,13,32.5,0
115,2,5.0,0
116,0,0.0,0
117,4,10.0,0
118,25,62.5,0
119,13,32.5,0
120,38,95.0,1
121,26,65.0,0
122,8,20.0,0
123,14,35.0,0
124,14,35.0,0
125,25,62.5,0
126,12,30.0,0
127,31,77.5,0
128,38,95.0,1
129,31,77.5,0
130,3,7.5,0
131,29,72.5,0
132,36,90.0,1
133,22,55.00000000000001,0
134,38,95.0,1
135,14,35.0,0
136,28,70.0,0
137,35,87.5,1
138,12,30.0,0
139,31,77.5,0
140,6,15.0,0
141,21,52.5,0
142,27,67.5,0
143,1,2.5,0
144,5,12.5,0
145,27,67.5,0
146,27,67.5,0
147,19,47.5,0
148,29,72.5,0
149,10,25.0,0
150,27,67.5,0
151,24,60.0,0
152,38,95.0,1
153,32,80.0,1
154,0,0.0,0
155,26,65.0,0
156,12,30.0,0
157,40,100.0,1
158,2,5.0,0
159,38,95.0,1
160,5,12.5,0
161,7,17.5,0
162,26,65.0,0
163,8,20.0,0
164,36,90.0,1
165,32,80.0,1
166,23,57.49999999999999,0
167,14,35.0,0
168,31,77.5,0
169,31,77.5,0
170,23,57.49999999999999,0
171,40,100.0,1
172,11,27.500000000000004,0
173,38,95.0,1
174,1,2.5,0
175,2,5.0,0
176,36,90.0,1
177,16,40.0,0
178,1,2.5,0
179,1,2.5,0
180,27,67.5,0
181,22,55.00000000000001,0
182,36,90.0,1
183,31,77.5,0
184,32,80.0,1
185,0,0.0,0
186,18,45.0,0
187,1,2.5,0
188,25,62.5,0
189,31,77.5,0
190,5,12.5,0
191,31,77.5,0
192,3,7.5,0
193,10,25.0,0
194,16,40.0,0
195,37,92.5,1
196,23,57.49999999999999,0
197,4,10.0,0
198,33,82.5,1
199,5,12.5,0
200,21,52.5,0
201,10,25.0,0
202,15,37.5,0
203,32,80.0,1
204,8,20.0,0
205,5,12.5,0
206,15,37.5,0
207,28,70.0,0
208,2,5.0,0
209,19,47.5,0
210,35,87.5,1
211,18,45.0,0
212,25,62.5,0
213,2,5.0,0
214,18,45.0,0
215,19,47.5,0
216,31,77.5,0
217,6,15.0,0
218,40,100.0,1
219,32,80.0,1
220,39,97.5,1
221,38,95.0,1
222,17,42.5,0
223,39,97.5,1
224,0,0.0,0
225,10,25.0,0
226,27,67.5,0
227,24,60.0,0
228,22,55.00000000000001,0
229,30,75.0,0
230,29,72.5,0
231,34,85.0,1
232,6,15.0,0
233,15,37.5,0
234,25,62.5,0
235,1,2.5,0
236,0,0.0,0
237,11,27.500000000000004,0
238,4,10.0,0
239,36,90.0,1
240,31,77.5,0
241,8,20.0,0
242,40,100.0,1
243,34,85.0,1
244,18,45.0,0
245,15,37.5,0
246,2,5.0,0
247,19,47.5,0
248,23,57.49999999999999,0
249,32,80.0,1
250,23,57.49999999999999,0
251,10,25.0,0
252,7,17.5,0
253,35,87.5,1
254,37,92.5,1
255,39,97.5,1
256,19,47.5,0
257,34,85.0,1
258,24,60.0,0
259,34,85.0,1
260,24,60.0,0
261,28,70.0,0
262,17,42.5,0
263,17,42.5,0
264,1,2.5,0
265,34,85.0,1
266,15,37.5,0
267,40,100.0,1
268,35,87.5,1
269,32,80.0,1
270,3,7.5,0
271,32,80.0,1
272,13,32.5,0
273,20,50.0,0
274,19,47.5,0
275,7,17.5,0
276,6,15.0,0
277,2,5.0,0
278,16,40.0,0
279,32,80.0,1
280,11,27.500000000000004,0
281,21,52.5,0
282,21,52.5,0
283,29,72.5,0
284,37,92.5,1
285,37,92.5,1
286,7,17.5,0
287,26,65.0,0
288,26,65.0,0
289,33,82.5,1
290,20,50.0,0
291,29,72.5,0
292,32,80.0,1
293,27,67.5,0
294,32,80.0,1
295,4,10.0,0
296,18,45.0,0
297,3,7.5,0
298,34,85.0,1
299,16,40.0,0
300,27,67.5,0
301,29,72.5,0
302,28,70.0,0
303,5,12.5,0
304,34,85.0,1
305,40,100.0,1
306,36,90.0,1
307,23,57.49999999999999,0
308,28,70.0,0
309,30,75.0,0
310,34,85.0,1
311,32,80.0,1
